roaster_name,title,price,weight_label,weight_grams,price_per_oz,origin_country,origin_region,producer_or_farm,variety,process,elevation,tasting_notes,watchlist_match,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,product_url
Onyx Coffee Lab,Ecuador La Papaya Typica Natural,9.00,2oz,85,3.00,Ecuador,Southern Ecuador,Hacienda La Papaya,Typica,Natural,,"clarity, sweetness, floral complexity",,,,,,https://onyxcoffeelab.com/products/ecuador-la-papaya-typica-natural
Onyx Coffee Lab,Colombia La Riviera SL28,12.40,2oz,85,4.14,Colombia,"Santa Rosa de Cabal, Risaralda",La Riviera,"SL-28, Geisha","Washed, bioreactor fermentation with inoculates","1,750 meters",,,,,,,https://onyxcoffeelab.com/products/colombia-la-riviera-sl28-26
Onyx Coffee Lab,Burundi Long Miles Munyinya Hill,9.00,2oz,85,3.00,Burundi,,"Long Miles Coffee Project, Munyinya Hill",,Washed,,"fig, blackberry, caramelized sugars",Ben & Kristy Carlson,Burundi Elite,ACE PCA / CoE Repeat,Microlots consistently top-10 CoE Burundi; own ACE Private Collection auction,Founded 2011; 7500+ farmers on 12 hills; Coffee Scout program; pioneered honey process in Burundi; expanding to Uganda & Kenya,https://onyxcoffeelab.com/products/burundi-long-miles-munyinya-hill-26
Onyx Coffee Lab,California Finca 1890 Gesha,100.00,10oz,312,9.09,USA,Santa Barbara County,Finca 1890,Geisha,Washed,,,,,,,,https://onyxcoffeelab.com/products/california-frinj-finca-1890-gesha
Onyx Coffee Lab,Guatemala El Injerto Gesha,15.00,2oz,85,5.00,Guatemala,Huehuetenango,Finca El Injerto,Geisha,Washed,,,Aguirre Family,CoE Legend,CoE Repeat Winner,8x 1st place Guatemala CoE; 13 top-five finishes; most decorated farm in CoE history,Carbon Neutral certified; own PCA through ACE; sells direct,https://onyxcoffeelab.com/products/guatemala-el-injerto-gesha-26
Onyx Coffee Lab,Honduras Benjamin Paz SL28,6.50,2oz,85,2.17,Honduras,Santa Barbara,Benjamin Paz,SL-28,,,,Benjamin Paz,Legend,ACE Legend of Excellence,5x CoE winner; 1st place 2022 & 2024,Mentored 7 producers who reached CoE auction,https://onyxcoffeelab.com/products/honduras-benjamin-paz-sl28-26
Onyx Coffee Lab,Burundi Campazi Natural,11.00,2oz,85,3.67,Burundi,Kayaza,Campazi,,Natural,,"grapefruit, butterscotch",Ben & Kristy Carlson,Burundi Elite,ACE PCA / CoE Repeat,Microlots consistently top-10 CoE Burundi; own ACE Private Collection auction,Founded 2011; 7500+ farmers on 12 hills; Coffee Scout program; pioneered honey process in Burundi; expanding to Uganda & Kenya,https://onyxcoffeelab.com/products/burundi-campazi-natural-26
Onyx Coffee Lab,Smiley Decaf Wholesale Direct,96.75,5lbs,2313,1.19,,,,,,,,,,,,,https://onyxcoffeelab.com/products/smiley-decaf
Onyx Coffee Lab,Rwanda Kanzu Station,6.00,2oz,85,2.00,Rwanda,Lake Kivu,Kanzu station,Bourbon,,,"apricot, sweet cane sugar",,,,,,https://onyxcoffeelab.com/products/rwanda-kanzu-station
Onyx Coffee Lab,Ecuador El Dorado Wush Wush,39.00,10oz,312,3.54,Ecuador,Loja,El Dorado,Wush Wush,,,,,,,,,https://onyxcoffeelab.com/products/ecuador-el-dorado-wush-wush
Onyx Coffee Lab,Peru San Martin de Pangoa,6.00,2oz,85,2.00,Peru,"San Martin de Pangoa, Junín",Santiago de Oropel,,,,,,,,,,https://onyxcoffeelab.com/products/peru-san-martin-de-pangoa
Onyx Coffee Lab,Rwanda Kanzu Station Natural,6.00,2oz,85,2.00,Rwanda,Lake Kivu,Kanzu station,Bourbon,Natural,,"fruit-forward, structured",,,,,,https://onyxcoffeelab.com/products/rwanda-kanzu-natural-26
Onyx Coffee Lab,Onyx Top Fifty Exclusive - Ethiopia Tuke Yute Honey,50.00,10oz,312,4.54,Ethiopia,Keramo,Tuke Yute,,Honey,,"pineapple, green apple, white tea",,,,,,https://onyxcoffeelab.com/products/onyx-top-fifty-exclusive
Onyx Coffee Lab,Honduras Benjamin Paz Gesha,11.50,2oz,85,3.84,Honduras,Santa Barbara,Benjamin Paz,Geisha,,,,Benjamin Paz,Legend,ACE Legend of Excellence,5x CoE winner; 1st place 2022 & 2024,Mentored 7 producers who reached CoE auction,https://onyxcoffeelab.com/products/honduras-benjamin-paz-gesha-26
Onyx Coffee Lab,Ethiopia Chilaka Station Anaerobic,8.00,2oz,85,2.67,Ethiopia,"Sidama, Bensa",Chilaka Station,,Anaerobic,,floral,,,,,,https://onyxcoffeelab.com/products/ethiopia-chilaka-station-anaerobic
Onyx Coffee Lab,Peru Flores Family Gesha,8.00,2oz,85,2.67,Peru,San Ignacio,"Faustino Flores, El Morito",Geisha,,,,,,,,,https://onyxcoffeelab.com/products/faustino-flores-la-mandarina-gesha
Onyx Coffee Lab,Colombia Brayan Smith Gesha,8.00,2oz,85,2.67,Colombia,"Pitalito, Huila",Brayan Smith,Geisha,,"1,500–1,800 meters above sea level",,,,,,,https://onyxcoffeelab.com/products/colombia-brayan-smith-gesha
Onyx Coffee Lab,Panama Finca Deborah Gesha Anaerobic,30.00,2oz,85,10.01,Panama,,Finca Deborah,Geisha,Anaerobic Washed,,,Jamison Savage,WBC Elite,WBC Producer,Grand slam 2024 WBC (top 3 all used his coffee); WBC 2016 winner Berg Wu; 10+ national Brewers Cup champions; 2025 US Brewers Cup winner,Pioneer carbonic maceration; 2022 harvest pre-sold; cafe in St. Pete FL,https://onyxcoffeelab.com/products/panama-finca-deborah-gesha-anaerobic
Onyx Coffee Lab,Panama Hacienda Barbara Catuai Natural,8.00,2oz,85,2.67,Panama,,Hacienda Barbara,Catuai,Natural,,,,,,,,https://onyxcoffeelab.com/products/panama-hacienda-barbara-catuai-natural
